Id,Geography,Total; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Less than high school graduate,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency)
0500000US01001,"Autauga County, Alabama",4858,928,19.1,1885,38.8
0500000US01003,"Baldwin County, Alabama",14479,2558,17.7,4842,33.4
0500000US01005,"Barbour County, Alabama",2386,600,25.1,1035,43.4
0500000US01007,"Bibb County, Alabama",2056,520,25.3,681,33.1
0500000US01009,"Blount County, Alabama",4618,894,19.4,1538,33.3
0500000US01011,"Bullock County, Alabama",1006,82,8.2,659,65.5
0500000US01013,"Butler County, Alabama",1630,313,19.2,490,30.1
0500000US01015,"Calhoun County, Alabama",11867,1653,13.9,3362,28.3
0500000US01017,"Chambers County, Alabama",2897,412,14.2,1234,42.6
0500000US01019,"Cherokee County, Alabama",1928,305,15.8,739,38.3
0500000US01021,"Chilton County, Alabama",3731,505,13.5,1564,41.9
0500000US01023,"Choctaw County, Alabama",1043,182,17.4,450,43.1
0500000US01025,"Clarke County, Alabama",2188,514,23.5,1224,55.9
0500000US01027,"Clay County, Alabama",1027,194,18.9,411,40
0500000US01029,"Cleburne County, Alabama",1101,206,18.7,464,42.1
0500000US01031,"Coffee County, Alabama",4296,853,19.9,1258,29.3
0500000US01033,"Colbert County, Alabama",4584,954,20.8,1433,31.3
0500000US01035,"Conecuh County, Alabama",1114,246,22.1,582,52.2
0500000US01037,"Coosa County, Alabama",960,188,19.6,277,28.9
0500000US01039,"Covington County, Alabama",3007,648,21.5,1190,39.6
0500000US01041,"Crenshaw County, Alabama",1176,271,23,436,37.1
0500000US01043,"Cullman County, Alabama",6909,1423,20.6,2117,30.6
0500000US01045,"Dale County, Alabama",4703,742,15.8,1771,37.7
0500000US01047,"Dallas County, Alabama",3931,695,17.7,1412,35.9
0500000US01049,"DeKalb County, Alabama",5951,1432,24.1,1819,30.6
0500000US01051,"Elmore County, Alabama",7691,1593,20.7,2635,34.3
0500000US01053,"Escambia County, Alabama",3484,1078,30.9,1262,36.2
0500000US01055,"Etowah County, Alabama",9064,1794,19.8,2923,32.2
0500000US01057,"Fayette County, Alabama",1353,224,16.6,430,31.8
0500000US01059,"Franklin County, Alabama",2891,673,23.3,973,33.7
0500000US01061,"Geneva County, Alabama",2105,520,24.7,824,39.1
0500000US01063,"Greene County, Alabama",746,166,22.3,223,29.9
0500000US01065,"Hale County, Alabama",1377,258,18.7,622,45.2
0500000US01067,"Henry County, Alabama",1345,221,16.4,589,43.8
0500000US01069,"Houston County, Alabama",8496,1531,18,3063,36.1
0500000US01071,"Jackson County, Alabama",4096,950,23.2,1352,33
0500000US01073,"Jefferson County, Alabama",61328,8103,13.2,17762,29
0500000US01075,"Lamar County, Alabama",1040,278,26.7,333,32
0500000US01077,"Lauderdale County, Alabama",10644,1348,12.7,2609,24.5
0500000US01079,"Lawrence County, Alabama",2855,459,16.1,1081,37.9
0500000US01081,"Lee County, Alabama",30033,2207,7.3,5124,17.1
0500000US01083,"Limestone County, Alabama",7014,1699,24.2,1818,25.9
0500000US01085,"Lowndes County, Alabama",1033,350,33.9,359,34.8
0500000US01087,"Macon County, Alabama",3888,409,10.5,762,19.6
0500000US01089,"Madison County, Alabama",34448,4407,12.8,10343,30
0500000US01091,"Marengo County, Alabama",1790,326,18.2,566,31.6
0500000US01093,"Marion County, Alabama",2299,672,29.2,674,29.3
0500000US01095,"Marshall County, Alabama",8035,1642,20.4,2733,34
0500000US01097,"Mobile County, Alabama",40775,8013,19.7,13127,32.2
0500000US01099,"Monroe County, Alabama",1929,574,29.8,814,42.2
0500000US01101,"Montgomery County, Alabama",25168,4997,19.9,7743,30.8
0500000US01103,"Morgan County, Alabama",9844,1969,20,3429,34.8
0500000US01105,"Perry County, Alabama",1625,181,11.1,603,37.1
0500000US01107,"Pickens County, Alabama",1741,328,18.8,598,34.3
0500000US01109,"Pike County, Alabama",7111,266,3.7,1318,18.5
0500000US01111,"Randolph County, Alabama",2024,554,27.4,516,25.5
0500000US01113,"Russell County, Alabama",5342,1424,26.7,1848,34.6
0500000US01115,"St. Clair County, Alabama",6697,1254,18.7,2817,42.1
0500000US01117,"Shelby County, Alabama",16270,2128,13.1,4528,27.8
0500000US01119,"Sumter County, Alabama",2527,269,10.6,416,16.5
0500000US01121,"Talladega County, Alabama",7144,1504,21.1,2338,32.7
0500000US01123,"Tallapoosa County, Alabama",3396,737,21.7,1106,32.6
0500000US01125,"Tuscaloosa County, Alabama",37432,3238,8.7,8831,23.6
0500000US01127,"Walker County, Alabama",5501,929,16.9,1892,34.4
0500000US01129,"Washington County, Alabama",1505,384,25.5,637,42.3
0500000US01131,"Wilcox County, Alabama",992,233,23.5,427,43
0500000US01133,"Winston County, Alabama",1771,353,19.9,594,33.5
0500000US02013,"Aleutians East Borough, Alaska",380,55,14.5,214,56.3
0500000US02016,"Aleutians West Census Area, Alaska",603,68,11.3,314,52.1
0500000US02020,"Anchorage Municipality, Alaska",34571,4734,13.7,11812,34.2
0500000US02050,"Bethel Census Area, Alaska",1988,821,41.3,806,40.5
0500000US02060,"Bristol Bay Borough, Alaska",81,20,24.7,35,43.2
0500000US02068,"Denali Borough, Alaska",265,31,11.7,77,29.1
0500000US02070,"Dillingham Census Area, Alaska",570,123,21.6,296,51.9
0500000US02090,"Fairbanks North Star Borough, Alaska",14367,1515,10.5,4344,30.2
0500000US02100,"Haines Borough, Alaska",207,1,0.5,150,72.5
0500000US02105,"Hoonah-Angoon Census Area, Alaska",127,31,24.4,73,57.5
0500000US02110,"Juneau City and Borough, Alaska",2920,457,15.7,1253,42.9
0500000US02122,"Kenai Peninsula Borough, Alaska",4969,1041,20.9,2043,41.1
0500000US02130,"Ketchikan Gateway Borough, Alaska",1223,241,19.7,559,45.7
0500000US02150,"Kodiak Island Borough, Alaska",1607,178,11.1,603,37.5
0500000US02158,"Kusilvak Census Area, Alaska",1030,360,35,551,53.5
0500000US02164,"Lake and Peninsula Borough, Alaska",158,37,23.4,69,43.7
0500000US02170,"Matanuska-Susitna Borough, Alaska",8865,1910,21.5,3977,44.9
0500000US02180,"Nome Census Area, Alaska",1070,258,24.1,557,52.1
0500000US02185,"North Slope Borough, Alaska",940,151,16.1,489,52
0500000US02188,"Northwest Arctic Borough, Alaska",966,272,28.2,545,56.4
0500000US02195,"Petersburg Borough, Alaska",296,112,37.8,88,29.7
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",511,73,14.3,274,53.6
0500000US02220,"Sitka City and Borough, Alaska",728,175,24,299,41.1
0500000US02230,"Skagway Municipality, Alaska",58,6,10.3,26,44.8
0500000US02240,"Southeast Fairbanks Census Area, Alaska",649,126,19.4,296,45.6
0500000US02261,"Valdez-Cordova Census Area, Alaska",941,59,6.3,420,44.6
0500000US02275,"Wrangell City and Borough, Alaska",147,17,11.6,69,46.9
0500000US02282,"Yakutat City and Borough, Alaska",52,3,5.8,25,48.1
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",519,138,26.6,279,53.8
0500000US04001,"Apache County, Arizona",7493,1934,25.8,2930,39.1
0500000US04003,"Cochise County, Arizona",11822,2111,17.9,4475,37.9
0500000US04005,"Coconino County, Arizona",26934,2619,9.7,7071,26.3
0500000US04007,"Gila County, Arizona",3848,963,25,1470,38.2
0500000US04009,"Graham County, Arizona",4218,877,20.8,1266,30
0500000US04011,"Greenlee County, Arizona",789,210,26.6,243,30.8
0500000US04012,"La Paz County, Arizona",1311,345,26.3,530,40.4
0500000US04013,"Maricopa County, Arizona",389394,65093,16.7,118892,30.5
0500000US04015,"Mohave County, Arizona",13898,3568,25.7,5596,40.3
0500000US04017,"Navajo County, Arizona",10058,3086,30.7,3661,36.4
0500000US04019,"Pima County, Arizona",119428,18230,15.3,32930,27.6
0500000US04021,"Pinal County, Arizona",30975,8775,28.3,11234,36.3
0500000US04023,"Santa Cruz County, Arizona",4472,1127,25.2,1231,27.5
0500000US04025,"Yavapai County, Arizona",14861,3108,20.9,4388,29.5
0500000US04027,"Yuma County, Arizona",23834,4844,20.3,7634,32
0500000US05001,"Arkansas County, Arkansas",1432,290,20.3,570,39.8
0500000US05003,"Ashley County, Arkansas",1765,282,16,633,35.9
0500000US05005,"Baxter County, Arkansas",2396,422,17.6,1008,42.1
0500000US05007,"Benton County, Arkansas",19260,2825,14.7,7664,39.8
0500000US05009,"Boone County, Arkansas",2885,306,10.6,991,34.4
0500000US05011,"Bradley County, Arkansas",947,238,25.1,311,32.8
0500000US05013,"Calhoun County, Arkansas",491,46,9.4,242,49.3
0500000US05015,"Carroll County, Arkansas",2040,469,23,936,45.9
0500000US05017,"Chicot County, Arkansas",924,154,16.7,354,38.3
0500000US05019,"Clark County, Arkansas",5109,249,4.9,664,13
0500000US05021,"Clay County, Arkansas",1200,221,18.4,587,48.9
0500000US05023,"Cleburne County, Arkansas",1758,279,15.9,836,47.6
0500000US05025,"Cleveland County, Arkansas",721,152,21.1,196,27.2
0500000US05027,"Columbia County, Arkansas",3991,434,10.9,795,19.9
0500000US05029,"Conway County, Arkansas",1740,271,15.6,727,41.8
0500000US05031,"Craighead County, Arkansas",12039,945,7.8,3234,26.9
0500000US05033,"Crawford County, Arkansas",5051,795,15.7,2325,46
0500000US05035,"Crittenden County, Arkansas",4648,792,17,1847,39.7
0500000US05037,"Cross County, Arkansas",1351,222,16.4,745,55.1
0500000US05039,"Dallas County, Arkansas",621,137,22.1,270,43.5
0500000US05041,"Desha County, Arkansas",1019,218,21.4,467,45.8
0500000US05043,"Drew County, Arkansas",2891,140,4.8,724,25
0500000US05045,"Faulkner County, Arkansas",18707,1624,8.7,4453,23.8
0500000US05047,"Franklin County, Arkansas",1531,315,20.6,621,40.6
0500000US05049,"Fulton County, Arkansas",781,155,19.8,335,42.9
